"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:06:47,FALSE,NA,"1598997168513511427",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ysbunazgoef",343,TRUE,FALSE,NA,NA
"Buat anak introvert di garut khususnya yaaa, stay safe, jangan ngurung terus di kamar, ini mah keadaannya beda lagi… https://t.co/raZp0eQNQT",FALSE,0,NA,2022-12-03 11:06:46,TRUE,NA,"1598997162356281345",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","verttttttt",0,FALSE,FALSE,NA,NA
"RT @urgurljos: Rekomendasi tas putih lucu lucu 🙌🙌🤍

1. https://t.co/L0Vv2OISOw
2. https://t.co/rigY5K0i2d
3. https://t.co/AHLDN6rOVj
4. htt…",FALSE,0,NA,2022-12-03 11:06:42,FALSE,NA,"1598997146996736000",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","holytenmagf",5,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:06:15,FALSE,NA,"1598997034752946176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OktoFerdi",343,TRUE,FALSE,NA,NA
"Gempa dengan magnitudo (M) 6,4 terjadi di Kabupaten Garut, Jawa Barat, Sabtu (3/12/2022) pukul 16.49.41 WIB. Gempa… https://t.co/Mgpsb4jI5I",FALSE,7,NA,2022-12-03 11:05:59,TRUE,NA,"1598996964951326721",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","republikaonline",2,FALSE,FALSE,NA,NA
"RT @intuiseemedia: Gempa bumi baru saja terjadi di Kab. Garut. Segini guncangannya #gempa #garut https://t.co/MEfcee7VFB",FALSE,0,NA,2022-12-03 11:05:44,FALSE,NA,"1598996904675020800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Andrianixiii",1,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:05:42,FALSE,NA,"1598996896445796352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","elmustofa8",343,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:05:26,FALSE,NA,"1598996829743771650",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bgDG_Stream",343,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:05:18,FALSE,NA,"1598996796797497347",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Elf_kim84",343,TRUE,FALSE,NA,NA
"Kerasa sampe sumedang:(

@Metro_TV #gempa #garut https://t.co/OmpZobBTtG",FALSE,2,NA,2022-12-03 11:05:17,FALSE,NA,"1598996791319736322",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Erkbsgr",0,FALSE,FALSE,NA,NA
"Innalillahi

Ya Rabb, Jaga dan lindungi negri kami belum selesai musibah di Cianjur, sekarang di garut 6,4 😭

Giman… https://t.co/BEOhCRPwMe",FALSE,3,NA,2022-12-03 11:05:14,TRUE,NA,"1598996777830842368",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","shbt_berbagi",0,FALSE,FALSE,NA,NA
"RT @urgurljos: Rekomendasi tas putih lucu lucu 🙌🙌🤍

1. https://t.co/L0Vv2OISOw
2. https://t.co/rigY5K0i2d
3. https://t.co/AHLDN6rOVj
4. htt…",FALSE,0,NA,2022-12-03 11:05:12,FALSE,NA,"1598996768443990018",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yofnmin",5,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:05:05,FALSE,NA,"1598996738416979968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bryansaaputra",343,TRUE,FALSE,NA,NA
